,,,
Stand: 22.01.2021 06:25:45,,,
,,,
,,,
Landkreis,LKNR,Anzahl,Inzidenz
StadtRegion Aachen,05334,316,57
LK Ahrweiler,07131,94,72
LK Aichach-Friedberg,09771,84,62
LK Alb-Donau-Kreis,08425,217,110
LK Altenburger Land,16077,249,279
LK Altenkirchen,07132,63,49
LK Altmarkkreis Salzwedel,15081,95,114
LK Altötting,09171,127,114
LK Alzey-Worms,07331,90,69
SK Amberg,09361,17,40
LK Amberg-Sulzbach,09371,38,37
LK Ammerland,03451,61,49
LK Anhalt-Bitterfeld,15082,382,241
SK Ansbach,09561,98,234
LK Ansbach,09571,129,70
SK Aschaffenburg,09661,66,93
LK Aschaffenburg,09671,212,122
SK Augsburg,09761,310,105
LK Augsburg,09772,148,58
LK Aurich,03452,57,30
LK Bad Dürkheim,07332,94,71
LK Bad Kissingen,09672,84,81
LK Bad Kreuznach,07133,202,128
LK Bad Tölz-Wolfratshausen,09173,116,91
SK Baden-Baden,08211,30,54
SK Bamberg,09461,33,43
LK Bamberg,09471,110,75
LK Barnim,12060,131,71
LK Bautzen,14625,758,253
SK Bayreuth,09462,91,122
LK Bayreuth,09472,125,121
LK Berchtesgadener Land,09172,153,144
LK Bergstraße,06431,292,108
SK Berlin Charlottenburg-Wilmersdorf,11004,285,85
SK Berlin Friedrichshain-Kreuzberg,11002,193,68
SK Berlin Lichtenberg,11011,215,75
SK Berlin Marzahn-Hellersdorf,11010,239,91
SK Berlin Mitte,11001,338,90
SK Berlin Neukölln,11008,307,96
SK Berlin Pankow,11003,385,97
SK Berlin Reinickendorf,11012,216,83
SK Berlin Spandau,11005,205,86
SK Berlin Steglitz-Zehlendorf,11006,247,82
SK Berlin Tempelhof-Schöneberg,11007,304,89
SK Berlin Treptow-Köpenick,11009,286,107
LK Bernkastel-Wittlich,07231,54,48
LK Biberach,08426,139,69
SK Bielefeld,05711,338,101
LK Birkenfeld,07134,101,125
LK Bitburg-Prüm,07232,37,37
LK Böblingen,08115,221,56
SK Bochum,05911,322,88
LK Bodenseekreis,08435,236,109
SK Bonn,05314,247,75
LK Börde,15083,169,99
LK Borken,05554,214,58
SK Bottrop,05512,142,121
SK Brandenburg a.d.Havel,12051,69,96
SK Braunschweig,03101,141,57
LK Breisgau-Hochschwarzwald,08315,110,42
SK Bremen,04011,363,64
SK Bremerhaven,04012,88,77
LK Burgenlandkreis,15084,506,283
LK Calw,08235,154,97
LK Celle,03351,96,54
LK Cham,09372,132,103
SK Chemnitz,14511,141,57
LK Cloppenburg,03453,132,77
SK Coburg,09463,54,131
LK Coburg,09473,114,131
LK Cochem-Zell,07135,41,67
LK Coesfeld,05558,91,41
SK Cottbus,12052,318,319
LK Cuxhaven,03352,139,70
LK Dachau,09174,159,103
LK Dahme-Spreewald,12061,276,162
SK Darmstadt,06411,141,88
LK Darmstadt-Dieburg,06432,307,103
LK Deggendorf,09271,157,131
SK Delmenhorst,03401,31,40
SK Dessau-Roßlau,15001,101,126
LK Diepholz,03251,101,47
LK Dillingen a.d.Donau,09773,59,61
LK Dingolfing-Landau,09279,41,42
LK Dithmarschen,01051,45,34
LK Donau-Ries,09779,125,93
LK Donnersbergkreis,07333,64,85
SK Dortmund,05913,555,94
SK Dresden,14612,531,95
SK Duisburg,05112,448,90
LK Düren,05358,239,90
SK Düsseldorf,05111,297,48
LK Ebersberg,09175,191,133
LK Eichsfeld,16061,105,105
LK Eichstätt,09176,106,80
SK Eisenach,16056,44,104
LK Elbe-Elster,12062,144,141
SK Emden,03402,14,28
LK Emmendingen,08316,80,48
LK Emsland,03454,190,58
LK Ennepe-Ruhr-Kreis,05954,288,89
LK Enzkreis,08236,158,79
LK Erding,09177,125,90
SK Erfurt,16051,289,135
SK Erlangen,09562,94,84
LK Erlangen-Höchstadt,09572,120,87
LK Erzgebirgskreis,14521,383,114
SK Essen,05113,631,108
LK Esslingen,08116,434,81
LK Euskirchen,05366,120,62
SK Flensburg,01001,143,159
LK Forchheim,09474,101,87
SK Frankenthal,07311,41,84
SK Frankfurt (Oder),12053,74,128
SK Frankfurt am Main,06412,653,86
SK Freiburg i.Breisgau,08311,116,50
LK Freising,09178,151,84
LK Freudenstadt,08237,101,85
LK Freyung-Grafenau,09272,111,142
LK Friesland,03455,32,32
LK Fulda,06631,506,227
LK Fürstenfeldbruck,09179,125,57
SK Fürth,09563,183,142
LK Fürth,09573,116,98
LK Garmisch-Partenkirchen,09180,55,62
SK Gelsenkirchen,05513,356,137
SK Gera,16052,121,130
LK Germersheim,07334,115,89
LK Gießen,06531,238,88
LK Gifhorn,03151,205,116
LK Göppingen,08117,178,69
LK Görlitz,14626,372,147
LK Goslar,03153,55,40
LK Gotha,16067,233,173
LK Göttingen,03159,229,70
LK Grafschaft Bentheim,03456,94,69
LK Greiz,16076,147,151
LK Groß-Gerau,06433,267,97
LK Günzburg,09774,93,73
LK Gütersloh,05754,303,83
SK Hagen,05914,314,166
SK Halle,15002,450,188
SK Hamburg,02000,1215,66
LK Hameln-Pyrmont,03252,146,98
SK Hamm,05915,181,101
Region Hannover,03241,1571,136
LK Harburg,03353,132,52
LK Harz,15085,304,143
LK Haßberge,09674,50,59
LK Havelland,12063,132,81
LK Heidekreis,03358,89,63
SK Heidelberg,08221,102,63
LK Heidenheim,08135,102,77
SK Heilbronn,08121,163,129
LK Heilbronn,08125,235,68
LK Heinsberg,05370,283,111
LK Helmstedt,03154,124,136
LK Herford,05758,247,99
SK Herne,05916,190,121
LK Hersfeld-Rotenburg,06632,130,108
LK Herzogtum Lauenburg,01053,126,64
LK Hildburghausen,16069,204,323
LK Hildesheim,03254,236,86
LK Hochsauerlandkreis,05958,210,81
LK Hochtaunuskreis,06434,146,62
SK Hof,09464,55,120
LK Hof,09475,112,118
LK Hohenlohekreis,08126,55,49
LK Holzminden,03255,94,133
LK Höxter,05762,257,183
LK Ilm-Kreis,16070,155,146
SK Ingolstadt,09161,141,103
SK Jena,16053,165,148
LK Jerichower Land,15086,93,104
SK Kaiserslautern,07312,99,99
LK Kaiserslautern,07335,77,73
SK Karlsruhe,08212,173,55
LK Karlsruhe,08215,337,76
SK Kassel,06611,114,56
LK Kassel,06633,238,101
SK Kaufbeuren,09762,25,56
LK Kelheim,09273,102,83
SK Kempten,09763,33,48
SK Kiel,01002,156,63
LK Kitzingen,09675,113,124
LK Kleve,05154,189,60
SK Koblenz,07111,129,113
SK Köln,05315,822,76
LK Konstanz,08335,172,60
SK Krefeld,05114,214,94
LK Kronach,09476,96,144
LK Kulmbach,09477,110,154
LK Kusel,07336,29,41
LK Kyffhäuserkreis,16065,118,159
LK Lahn-Dill-Kreis,06532,225,89
SK Landau i.d.Pfalz,07313,33,70
LK Landsberg a.Lech,09181,62,52
SK Landshut,09261,120,163
LK Landshut,09274,136,85
LK Leer,03457,62,36
SK Leipzig,14713,822,139
LK Leipzig,14729,524,203
SK Leverkusen,05316,148,90
LK Lichtenfels,09478,83,124
LK Limburg-Weilburg,06533,163,95
LK Lindau,09776,66,81
LK Lippe,05766,407,117
LK Lörrach,08336,185,81
SK Lübeck,01003,169,78
LK Lüchow-Dannenberg,03354,15,31
LK Ludwigsburg,08118,390,72
SK Ludwigshafen,07314,256,149
LK Ludwigslust-Parchim,13076,296,140
LK Lüneburg,03355,40,22
SK Magdeburg,15003,153,64
LK Main-Kinzig-Kreis,06435,397,94
LK Main-Spessart,09677,94,75
LK Main-Tauber-Kreis,08128,151,114
LK Main-Taunus-Kreis,06436,167,70
SK Mainz,07315,145,66
LK Mainz-Bingen,07339,223,105
SK Mannheim,08222,372,120
LK Mansfeld-Südharz,15087,181,134
LK Marburg-Biedenkopf,06534,170,69
LK Märkischer Kreis,05962,520,127
LK Märkisch-Oderland,12064,145,74
LK Mayen-Koblenz,07137,170,79
LK Mecklenburgische Seenplatte,13071,315,122
LK Meißen,14627,411,170
SK Memmingen,09764,43,98
LK Merzig-Wadern,10042,50,48
LK Mettmann,05158,638,131
LK Miesbach,09182,51,51
LK Miltenberg,09676,153,119
LK Minden-Lübbecke,05770,385,124
LK Mittelsachsen,14522,603,198
SK Mönchengladbach,05116,178,68
LK Mühldorf a.Inn,09183,177,153
SK Mülheim a.d.Ruhr,05117,105,62
SK München,09162,1115,75
LK München,09184,465,133
SK Münster,05515,85,27
LK Neckar-Odenwald-Kreis,08225,177,123
LK Neuburg-Schrobenhausen,09185,63,65
LK Neumarkt i.d.OPf.,09373,62,46
SK Neumünster,01004,67,84
LK Neunkirchen,10043,73,56
LK Neustadt a.d.Aisch-Bad Windsheim,09575,83,82
LK Neustadt a.d.Waldnaab,09374,114,121
SK Neustadt a.d.Weinstraße,07316,40,75
LK Neu-Ulm,09775,131,75
LK Neuwied,07138,133,73
LK Nienburg (Weser),03256,142,117
LK Nordfriesland,01054,243,146
LK Nordhausen,16062,58,70
LK Nordsachsen,14730,265,134
LK Nordwestmecklenburg,13074,62,39
LK Northeim,03155,40,30
SK Nürnberg,09564,733,141
LK Nürnberger Land,09574,83,49
LK Oberallgäu,09780,123,79
LK Oberbergischer Kreis,05374,303,111
SK Oberhausen,05119,194,92
LK Oberhavel,12065,364,171
LK Oberspreewald-Lausitz,12066,190,174
LK Odenwaldkreis,06437,100,103
LK Oder-Spree,12067,409,229
SK Offenbach,06413,185,142
LK Offenbach,06438,402,113
SK Oldenburg,03403,72,43
LK Oldenburg,03458,83,63
LK Olpe,05966,124,93
LK Ortenaukreis,08317,401,93
SK Osnabrück,03404,94,57
LK Osnabrück,03459,234,65
LK Ostalbkreis,08136,303,96
LK Ostallgäu,09777,89,63
LK Osterholz,03356,51,45
LK Ostholstein,01055,126,63
LK Ostprignitz-Ruppin,12068,291,294
LK Paderborn,05774,167,54
SK Passau,09262,90,170
LK Passau,09275,340,176
LK Peine,03157,122,91
LK Pfaffenhofen a.d.Ilm,09186,90,70
SK Pforzheim,08231,194,154
LK Pinneberg,01056,414,131
SK Pirmasens,07317,41,102
LK Plön,01057,36,28
SK Potsdam,12054,344,191
LK Potsdam-Mittelmark,12069,321,148
LK Prignitz,12070,130,171
LK Rastatt,08216,110,48
LK Ravensburg,08436,391,137
LK Recklinghausen,05562,673,110
LK Regen,09276,163,211
SK Regensburg,09362,84,55
LK Regensburg,09375,110,57
SK Remscheid,05120,91,82
LK Rems-Murr-Kreis,08119,326,76
LK Rendsburg-Eckernförde,01058,120,44
LK Reutlingen,08415,257,90
LK Rhein-Erft-Kreis,05362,342,73
LK Rheingau-Taunus-Kreis,06439,103,55
LK Rhein-Hunsrück-Kreis,07140,104,101
LK Rheinisch-Bergischer Kreis,05378,262,92
LK Rhein-Kreis Neuss,05162,332,73
LK Rhein-Lahn-Kreis,07141,69,56
LK Rhein-Neckar-Kreis,08226,445,81
LK Rhein-Pfalz-Kreis,07338,144,93
LK Rhein-Sieg-Kreis,05382,494,82
LK Rhön-Grabfeld,09673,76,95
SK Rosenheim,09163,67,105
LK Rosenheim,09187,281,108
SK Rostock,13003,86,41
LK Rostock,13072,116,54
LK Rotenburg (Wümme),03357,58,35
LK Roth,09576,118,93
LK Rottal-Inn,09277,157,129
LK Rottweil,08325,132,94
LK Saale-Holzland-Kreis,16074,172,207
LK Saalekreis,15088,315,171
LK Saale-Orla-Kreis,16075,173,215
LK Saalfeld-Rudolstadt,16073,294,285
LK Saarlouis,10044,177,91
LK Saar-Pfalz-Kreis,10045,76,53
LK Sächsische Schweiz-Osterzgebirge,14628,377,154
SK Salzgitter,03102,44,42
LK Salzlandkreis,15089,290,153
LK Sankt Wendel,10046,105,121
LK Schaumburg,03257,124,79
LK Schleswig-Flensburg,01059,61,30
LK Schmalkalden-Meiningen,16066,281,225
SK Schwabach,09565,40,98
LK Schwäbisch Hall,08127,131,67
LK Schwalm-Eder-Kreis,06634,155,86
LK Schwandorf,09376,92,62
LK Schwarzwald-Baar-Kreis,08326,130,61
SK Schweinfurt,09662,31,58
LK Schweinfurt,09678,74,64
SK Schwerin,13004,78,82
LK Segeberg,01060,156,56
LK Siegen-Wittgenstein,05970,240,87
LK Sigmaringen,08437,82,63
LK Soest,05974,177,59
SK Solingen,05122,146,92
LK Sömmerda,16068,104,150
LK Sonneberg,16072,109,189
SK Speyer,07318,33,65
LK Spree-Neiße,12071,230,202
LK Stade,03359,85,42
LK Stadtverband Saarbrücken,10041,380,116
LK Starnberg,09188,128,94
LK Steinburg,01061,65,50
LK Steinfurt,05566,354,79
LK Stendal,15090,76,68
LK Stormarn,01062,216,88
SK Straubing,09263,31,65
LK Straubing-Bogen,09278,102,101
SK Stuttgart,08111,463,73
LK Südliche Weinstraße,07337,145,131
LK Südwestpfalz,07340,44,46
SK Suhl,16054,51,139
LK Teltow-Fläming,12072,230,135
LK Tirschenreuth,09377,131,182
LK Traunstein,09189,204,115
SK Trier,07211,46,41
LK Trier-Saarburg,07235,65,44
LK Tübingen,08416,94,41
LK Tuttlingen,08327,163,116
LK Uckermark,12073,166,140
LK Uelzen,03360,88,95
SK Ulm,08421,94,74
LK Unna,05978,355,90
LK Unstrut-Hainich-Kreis,16064,258,252
LK Unterallgäu,09778,215,148
LK Vechta,03460,72,50
LK Verden,03361,50,36
LK Viersen,05166,252,84
LK Vogelsbergkreis,06535,111,105
LK Vogtlandkreis,14523,336,149
LK Vorpommern-Greifswald,13075,403,171
LK Vorpommern-Rügen,13073,102,45
LK Vulkaneifel,07233,40,66
LK Waldeck-Frankenberg,06635,169,108
LK Waldshut,08337,143,84
LK Warendorf,05570,313,113
LK Wartburgkreis,16063,177,149
SK Weiden i.d.OPf.,09363,37,87
LK Weilheim-Schongau,09190,76,56
SK Weimar,16055,110,169
LK Weimarer Land,16071,191,232
LK Weißenburg-Gunzenhausen,09577,110,116
LK Werra-Meißner-Kreis,06636,107,106
LK Wesel,05170,367,80
LK Wesermarsch,03461,138,156
LK Westerwaldkreis,07143,107,53
LK Wetteraukreis,06440,284,92
SK Wiesbaden,06414,193,69
SK Wilhelmshaven,03405,40,53
LK Wittenberg,15091,308,246
LK Wittmund,03462,30,53
LK Wolfenbüttel,03158,54,45
SK Wolfsburg,03103,70,56
SK Worms,07319,90,108
LK Wunsiedel i.Fichtelgebirge,09479,170,234
SK Wuppertal,05124,363,102
SK Würzburg,09663,99,77
LK Würzburg,09679,90,55
LK Zollernalbkreis,08417,154,81
SK Zweibrücken,07320,16,47
LK Zwickau,14524,359,114
